Support .NET namespace,Support .NET type name,AndroidX .NET namespace,AndroidX .NET type name,Support .NET assembly,AndroidX .NET assembly,Support Java package,Support Java class,AndroidX Java package,AndroidX Java class,Messages
Android.Support.Annotation,IAnimatorRes,AndroidX.Annotations,IAnimatorRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnimatorRes,androidx.annotation,AnimatorRes,
Android.Support.Annotation,IAnimatorResInvoker,AndroidX.Annotations,IAnimatorResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,AnimatorRes,androidx.annotation,AnimatorRes,
Android.Support.Annotation,IKeep,AndroidX.Annotations,IKeep,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Keep,androidx.annotation,Keep,
Android.Support.Annotation,IKeepInvoker,AndroidX.Annotations,IKeepInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Keep,androidx.annotation,Keep,
Android.Support.Annotation,ColorIntAttribute,AndroidX.Annotations,ColorIntAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,RequiresPermissionAttribute,AndroidX.Annotations,RequiresPermissionAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,StyleResAttribute,AndroidX.Annotations,StyleResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ArrayResAttribute,AndroidX.Annotations,ArrayResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IntegerResAttribute,AndroidX.Annotations,IntegerResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ICallSuper,AndroidX.Annotations,ICallSuper,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,CallSuper,androidx.annotation,CallSuper,
Android.Support.Annotation,ICallSuperInvoker,AndroidX.Annotations,ICallSuperInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,CallSuper,androidx.annotation,CallSuper,
Android.Support.Annotation,SizeAttribute,AndroidX.Annotations,SizeAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IIntRange,AndroidX.Annotations,IIntRange,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IntRange,androidx.annotation,IntRange,
Android.Support.Annotation,IIntRangeInvoker,AndroidX.Annotations,IIntRangeInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IntRange,androidx.annotation,IntRange,
Android.Support.Annotation,IWorkerThread,AndroidX.Annotations,IWorkerThread,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,WorkerThread,androidx.annotation,WorkerThread,
Android.Support.Annotation,IWorkerThreadInvoker,AndroidX.Annotations,IWorkerThreadInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,WorkerThread,androidx.annotation,WorkerThread,
Android.Support.Annotation,IMainThread,AndroidX.Annotations,IMainThread,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,MainThread,androidx.annotation,MainThread,
Android.Support.Annotation,IMainThreadInvoker,AndroidX.Annotations,IMainThreadInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,MainThread,androidx.annotation,MainThread,
Android.Support.Annotation,RequiresFeatureAttribute,AndroidX.Annotations,RequiresFeatureAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IPx,AndroidX.Annotations,IPx,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Px,androidx.annotation,Px,
Android.Support.Annotation,IPxInvoker,AndroidX.Annotations,IPxInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Px,androidx.annotation,Px,
Android.Support.Annotation,IIntDef,AndroidX.Annotations,IIntDef,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IntDef,androidx.annotation,IntDef,
Android.Support.Annotation,IIntDefInvoker,AndroidX.Annotations,IIntDefInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,IntDef,androidx.annotation,IntDef,
Android.Support.Annotation,RestrictToAttribute,AndroidX.Annotations,RestrictToAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ITransitionRes,AndroidX.Annotations,ITransitionRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,TransitionRes,androidx.annotation,TransitionRes,
Android.Support.Annotation,ITransitionResInvoker,AndroidX.Annotations,ITransitionResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,TransitionRes,androidx.annotation,TransitionRes,
Android.Support.Annotation,CheckResultAttribute,AndroidX.Annotations,CheckResultAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,WorkerThreadAttribute,AndroidX.Annotations,WorkerThreadAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IStyleRes,AndroidX.Annotations,IStyleRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,StyleRes,androidx.annotation,StyleRes,
Android.Support.Annotation,IStyleResInvoker,AndroidX.Annotations,IStyleResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,StyleRes,androidx.annotation,StyleRes,
Android.Support.Annotation,IDrawableRes,AndroidX.Annotations,IDrawableRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,DrawableRes,androidx.annotation,DrawableRes,
Android.Support.Annotation,IDrawableResInvoker,AndroidX.Annotations,IDrawableResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,DrawableRes,androidx.annotation,DrawableRes,
Android.Support.Annotation,AttrResAttribute,AndroidX.Annotations,AttrResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ICheckResult,AndroidX.Annotations,ICheckResult,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,CheckResult,androidx.annotation,CheckResult,
Android.Support.Annotation,ICheckResultInvoker,AndroidX.Annotations,ICheckResultInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,CheckResult,androidx.annotation,CheckResult,
Android.Support.Annotation,ISize,AndroidX.Annotations,ISize,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Size,androidx.annotation,Size,
Android.Support.Annotation,ISizeInvoker,AndroidX.Annotations,ISizeInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,Size,androidx.annotation,Size,
Android.Support.Annotation,NavigationResAttribute,AndroidX.Annotations,NavigationResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,AnimatorResAttribute,AndroidX.Annotations,AnimatorResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IColorLong,AndroidX.Annotations,IColorLong,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,ColorLong,androidx.annotation,ColorLong,
Android.Support.Annotation,IColorLongInvoker,AndroidX.Annotations,IColorLongInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,ColorLong,androidx.annotation,ColorLong,
Android.Support.Annotation,IRequiresPermissionRead,AndroidX.Annotations,IRequiresPermissionRead,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresPermission.Read,androidx.annotation,RequiresPermission.Read,
Android.Support.Annotation,IRequiresPermissionReadInvoker,AndroidX.Annotations,IRequiresPermissionReadInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresPermission.Read,androidx.annotation,RequiresPermission.Read,
Android.Support.Annotation,IRequiresPermissionWrite,AndroidX.Annotations,IRequiresPermissionWrite,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresPermission.Write,androidx.annotation,RequiresPermission.Write,
Android.Support.Annotation,IRequiresPermissionWriteInvoker,AndroidX.Annotations,IRequiresPermissionWriteInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresPermission.Write,androidx.annotation,RequiresPermission.Write,
Android.Support.Annotation,IRequiresPermission,AndroidX.Annotations,IRequiresPermission,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresPermission,androidx.annotation,RequiresPermission,
Android.Support.Annotation,IRequiresPermissionInvoker,AndroidX.Annotations,IRequiresPermissionInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RequiresPermission,androidx.annotation,RequiresPermission,
Android.Support.Annotation,IRawRes,AndroidX.Annotations,IRawRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RawRes,androidx.annotation,RawRes,
Android.Support.Annotation,IRawResInvoker,AndroidX.Annotations,IRawResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,RawRes,androidx.annotation,RawRes,
Android.Support.Annotation,UiThreadAttribute,AndroidX.Annotations,UiThreadAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,PluralsResAttribute,AndroidX.Annotations,PluralsResAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IPluralsRes,AndroidX.Annotations,IPluralsRes,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,PluralsRes,androidx.annotation,PluralsRes,
Android.Support.Annotation,IPluralsResInvoker,AndroidX.Annotations,IPluralsResInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,PluralsRes,androidx.annotation,PluralsRes,
Android.Support.Annotation,LongDefAttribute,AndroidX.Annotations,LongDefAttribute,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,IUiThread,AndroidX.Annotations,IUiThread,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,UiThread,androidx.annotation,UiThread,
Android.Support.Annotation,IUiThreadInvoker,AndroidX.Annotations,IUiThreadInvoker,Xamarin.Android.Support.Annotations,Xamarin.AndroidX.Annotation,android.support.annotation,UiThread,androidx.annotation,UiThread,
